Le Li,2
Baoyuan Wu,3
Christopher Baik,2
Karthik Ramachandra,2
Daniel Torres-Salinas,3
Oana Balalau,2
Helena Galhardas,2
Ioana Manolescu,4
Tayeb Merabti,2
Jingmao You,2
Madelon Hulsebos,3
Asoke Datta,2
Yesdaulet Izenov,2
Maria-Esther Vidal,5
Claudio Gutierrez,2
Prateek Mittal,2
Goran Velinov,2
Emeric Dynomant,2
Atri Rudra,2
Oren Kalinsky,2
Yoav Etsion,2
Bill Howe,6
Stacy S. McGaugh,4
James M. Schombert,4
Anjith George,2
Miika Hannula,2
Juha Kontinen,2
Jonni Virtema,2
Semih Salihoglu,4
Johannes Gehrke,2
Klaus-Dieter Schewe,3
José María Turull-Torres,3
Pengfei Li,4
Stacy McGaugh,3
Marcel S. Pawlowski,3
Alexandr Savinov,2
James Schombert,2
George A. Vouros,2
Christos Doulkeridis,3
Vasiliki Kalavri,2
Tushar Agarwal,2
Theodore D. Drivas,2
Gregory L. Eyink,3
Johannes Doleschal,2
Wim Martens,3
Yong Zhang,2
Yanbo Fan,2
Lingyang Chu,2
Zhefeng Wang,2
Mateusz Trokielewicz,5
Piotr Maciejewicz,3
Wei Sun,2
Herbert Jordan,2
Bernhard Scholz,2
Rizwan Ahmed Khan,2
Yaser Mansouri,2
M. Ali Babar,2
Nathan W. C. Leigh,2
Christopher Ré,2
Michael Benedikt,4
Dominik D. Freydenberger,3
Zhipeng Gao,2
Marcella Marconi,3
Roberto Molinaro,3
Vincenzo Ripepi,3
Maria Ida Moretti,3
Surajit Chaudhuri,2
Vivek Narasayya,2
Alin Deutsch,2
Michael Stonebraker,5
Jia Yu,2
Peter Christen,2
Xiaohua Huang,2
Wenming Zheng,3
Shrainik Jain,2
Jiaqi Yan,2
Hsuan-Yin Lin,2
Eirik Rosnes,2
Dominik Tomaszuk,2
Nofar Carmeli,2
Prasad Krishnan,2
Hugo Ruiz,2
Mehdi Yedroudj,3
Marc Chaumont,3
Frédéric Comby,3
Gérard Subsol,2
Elza Erkip,2
D. I. Makarov,2
Yu Yang,2
Ye Yuan,3
Omar Boussaïd,2
Fadila Bentayeb,2
Fabio Gagliardi Cozman,2
Denis Deratani Mauá,2
Daniel Ceverino,2
Simon Glover,2
Ralf Klessen,2
Wolfgang Lehner,3
Rodrigo F. Berriel,2
Heng Tao Shen,2
Carlos Leandro,2
Luís Monteiro,2
Mouhamadou Lamine Ba,2
Abdenour Hadid,2
Ivens Portugal,2
Paulo Alencar,2
Donald Cowan,2
Ian Horrocks,2
Felipe Soares,2
George Papadakis,2
Rathijit Sen,2
Robert Brijder,2
Tommaso Soru,2
Edgard Marx,2
Jianzhong Li,3
Edmon Begoli,2
Julian Hyde,2
Daniel Lemire,3
Stijn Vansummeren,2
Domagoj Vrgoc,2
James Thorne,2
Andreas Vlachos,2
Nan Tang,2
Shafiq Joty,2
Michael Ying Yang,2
Wentong Liao,2
Bodo Rosenhahn,2
Kamal Choudhary,3
Yixiang Fang,2
Christoph Molnar,2
Bernd Bischl,2
Giuseppe Casalicchio,2
Pierre Bourhis,2
Michaël Thomazo,2
Heiko Paulheim,3
Gong Cheng,2
Michael Färber,2
Guenter Hesse,2
Werner Sinzig,2
Christoph Matthies,2
Matthias Uflacker,3
Alessandro Berti,3
Mooly Sagiv,2
Claudia Felser,2
Laura Rebollo-Neira,2
Bhiksha Raj,3
Rita Singh,2
Zheng Lian,2
Jianhua Tao,2
Bin Liu,4
Jian Huang,2
Samson Abramsky,2
Jinfeng Li,4
Antonino Sabetta,2
Martin Thomas Horsch,2
Silvia Chiacchiera,2
Gabriele Mogni,2
Gerhard Goldbeck,2
Gerhard Weikum,2
Jeff Z. Pan,2
Yuzhong Qu,2
Nicolas Heist,2
Ryan Marcus,3
Emanuel Zgraggen,2
Raul Castro Fernandez,3
Tim Kraska,3
Mahmoud Abo-Khamis,3
Sheng Wang,2
Zhifeng Bao,2
J. Shane Culpepper,2
Gao Cong,2
Karim Baïna,2
Yang Zhang,3
Maja Pantic,3
Arun Iyengar,2
Daniel Ritter,2
Marco A. Casanova,2
Vince Grolmusz,3
Shiqi Wang,2
Themis Palpanas,2
Michele Linardi,3
Floris Geerts,3
Sungjin Im,2
Anna Fariha,2
Nicolas Robinson-Garcia,2
Yoshihiko Suhara,2
Dan Zhang,2
Wang-Chiew Tan,3
Evaggelia Pitoura,2
Kostas Stefanidis,2
Chunyan Ji,2
Yi Pan,2
Fei Chiang,2
Majid Rafiei,3
Wil M. P. van der Aalst,4
Philipp Terhörst,2
Naser Damer,3
Florian Kirchbuchner,2
Arjan Kuijper,2
Bart Bogaerts,4
Paul Fodor,3
Joost Vennekens,2
Haoran Zhang,2
Fritz Laux,3
Chen Chen,2
Ryo Yoshida,2
Junichiro Shiomi,2
Sennur Ulukus,8
Karim Banawan,7
Jesús Malo,2
Q. A. Parker,2
Tuvi Etzion,2
E. Simeckova,2
M. Avrigeanu,2
U. Fischer,2
J. Mrazek,2
J. Novak,2
M. Stefanik,2
C. Costache,2
V. Avrigeanu,2
Mai Xu,2
Zulin Wang,2
